logFC	logCPM	F	PValue	FDR	mrna
4.50515389748986	6.15772923337844	425.905649404906	1.40122203625013e-14	5.91834367122066e-11	lcl|BK006944.2_mrna_3502
5.76535059869069	8.94835067589365	410.633462725986	1.96134007331256e-14	5.91834367122066e-11	lcl|BK006945.2_ncrna_3999
4.6856153334449	4.96704101379472	374.237488132021	4.59940909639605e-14	9.25247796558339e-11	lcl|BK006942.2_mrna_3028
-2.551427559092	7.64006444143898	360.420269384687	6.49070995260458e-14	9.79285864099216e-11	lcl|BK006937.2_mrna_656
3.77752219271229	10.1987239945631	320.590613472558	1.88874021622839e-13	2.14035444307598e-10	lcl|BK006939.2_mrna_1801
-10.5824708048216	4.67686285320534	555.440010811167	2.13340962251286e-13	2.14035444307598e-10	lcl|BK006945.2_mrna_4227
-8.16092714481787	4.87389229815789	311.087719984359	2.48259835982301e-13	2.14035444307598e-10	lcl|BK006949.2_mrna_5995
-3.19637764271626	7.62524409265446	293.224390297532	4.24304546111124e-13	3.20084741972579e-10	lcl|BK006937.2_mrna_574
-9.93877246527986	4.41900765682677	485.663189610118	5.76674661445086e-13	3.86692397980121e-10	lcl|BK006939.2_mrna_1577
4.52176628162009	7.02165953975014	295.99514301851	6.852039995472e-13	4.13520613726735e-10	lcl|BK006945.2_ncrna_4261
3.10360110277993	5.51150387131635	267.97351531157	9.56246815691223e-13	5.00551570798926e-10	lcl|BK006939.2_ncrna_1756
3.65139964325716	5.85491624257005	266.784029847449	9.95297241025204e-13	5.00551570798926e-10	lcl|BK006946.2_ncrna_4559
3.22525377199937	7.5055113306154	237.480045259161	2.82350764380809e-12	1.31075912541399e-09	lcl|BK006946.2_ncrna_4555
-2.16535099419172	7.41316422478324	233.79349136958	3.24639428405389e-12	1.37212274007754e-09	lcl|BK006937.2_mrna_696
-2.68937671487127	5.83136943906664	232.50429883519	3.41041277566912e-12	1.37212274007754e-09	lcl|BK006948.2_mrna_5432
11.5872877953775	5.33983713841058	897.209844281947	4.58803850282508e-12	1.73055077278433e-09	lcl|BK006937.2_mrna_706
-2.28234504324866	6.39546319653446	220.089251528017	5.55607828147881e-12	1.97240778992498e-09	lcl|BK006937.2_mrna_580
-2.4130090198887	5.57891129774714	189.749286443611	2.05661179406198e-11	6.89536232064669e-09	lcl|BK006934.2_mrna_2638
-2.46093292012728	7.20154933269284	183.959061147045	2.6977979822559e-11	8.56905832784967e-09	lcl|BK006943.2_mrna_3395
4.02945294730191	6.32585967273392	180.929912590963	3.11902342044205e-11	9.41165317118388e-09	lcl|BK006948.2_ncrna_5442
3.19210598751454	6.29740261320098	178.373753635488	3.53134084358714e-11	1.01484009481183e-08	lcl|BK006947.3_ncrna_5212
2.62993333646322	9.45800416967972	167.564457233729	6.08120745291981e-11	1.66818577174414e-08	lcl|BK006941.2_ncrna_2312
10.9456225882641	5.13635369904875	550.931211555861	6.80316998040759e-11	1.78509264485912e-08	lcl|BK006936.2_mrna_343
2.50909604062338	10.9326058646987	163.377730610368	7.57060876592125e-11	1.82759011061049e-08	lcl|BK006945.2_miscrna_4064
2.50900746859172	10.9325161437895	163.377263782158	7.57079581860185e-11	1.82759011061049e-08	lcl|BK006945.2_miscrna_4054
-2.24781106168362	6.94295763272201	160.191294194254	8.97476855432053e-11	2.08318185482017e-08	lcl|BK006944.2_mrna_3613
2.23346472781059	6.90473990579313	157.935735031841	1.01421852346949e-10	2.19084033421521e-08	lcl|BK006948.2_ncrna_5771
1.83583980860822	5.99520357771642	157.448527727199	1.04157947470031e-10	2.19084033421521e-08	lcl|BK006948.2_mrna_5817
2.33304038547015	6.68446097132649	157.253405076053	1.05276503218295e-10	2.19084033421521e-08	lcl|BK006944.2_mrna_3559
4.78494234624348	4.10077693286592	151.016815605514	1.49070259270738e-10	2.998796715663e-08	lcl|BK006940.2_mrna_1873
2.24895373928529	5.08075971871496	144.827172147567	2.13267554048561e-10	4.07680589435249e-08	lcl|BK006947.3_mrna_5282
